"from" "to"
"Gewässer-Fließgewässer" "Waters-flowing waters"
"Gewässer-Hafenbecken" "Water docks"
"Gewässer-Stehendes Gewässer" "Waters-Standing waters"
"Gewässer-Meer" "Waters sea"
"type" "type"
"Einheit" "unit"
"baureifes Land" "land ready for construction"
"Bruttoinlandsprodukt(Tsd. EUR)" "Gross Domestic Product (EUR thousand)"
"Bruttoinlandsprodukt je Erwerbstätigen( EUR)" "Gross domestic product per employed person (EUR)"
"Bruttoinlandsprodukt je Einwohner(EUR)" "Gross domestic product per inhabitant (EUR)"
"Insgesamt(Tsd. EUR)" "Total (EUR thousand)"
"Land- und Forstwirtschaft, Fischerei (A)(Tsd. EUR)" "Agriculture, forestry, fishing (A) (EUR thousand)"
"Produzierendes Gewerbe ohne Baugewerbe (B-E)(Tsd. EUR)" "Manufacturing industry excluding construction (B-E) (EUR thousand)"
"Verarbeitendes Gewerbe (C)(Tsd. EUR)" "Manufacturing industry (C) (EUR thousand)"
"Baugewerbe (F)(Tsd. EUR)" "Construction (F) (EUR thousand)"
"Handel,Verkehr,Gastgewerbe,Informa-/Kommunikation(Tsd. EUR)" "Trade, transport, hospitality, information / communication (EUR thousand)"
"Fin-,Vers.-,Unt.-dienstl.,Grundst.-/Wohnungswesen(Tsd. EUR)" "Fin, insurance, business services, real estate / housing (EUR thousand)"
"öffentl. u. sonst. Dienstl.,Erziehung, Gesundheit(Tsd. EUR)" "public u. other services, education, health (thousand EUR)"
"verfügbares Einkommen der privaten Haushalte(Tsd. EUR)" "disposable income of private households (EUR thousand)"
"verfüg. Einkommen der priv. Haushalte je Einwohner(EUR)" "available Household income per inhabitant (EUR)"
"zeit" "time"
"1 auspraegung code" "1 variant code"
"1 auspraegung label" "1 expression label"
"2 auspraegung label" "2 expression label"
"bau001  veraeusserungsfaelle von bauland  anzahl" "bau001 cases of sale of building land number"
"bau002  veraeusserte baulandflaeche  1000 qm" "bau002 sold building land area 1000 sqm"
"bau003  kaufsumme  tsd. eur" "bau003 purchase price thsd. eur"
"bau004  durchschnittlicher kaufwert je qm  eur" "bau004 average purchase value per square meter of eur"
"Zeit" "time"
"1 Auspraegung Code" "1 occurrence code"
"1 Auspraegung Label" "1 expression label"
"2 Auspraegung Label" "2 Expression label"
"BAU001  Veraeusserungsfaelle von Bauland  Anzahl" "BAU001 Sales cases of building land number"
"BAU002  Veraeusserte Baulandflaeche  1000 qm" "BAU002 sold building land area 1000 sqm"
"BAU003  Kaufsumme  Tsd. EUR" "BAU003 purchase price thousand EUR"
"BAU004  Durchschnittlicher Kaufwert je qm  EUR" "BAU004 Average purchase value per square meter EUR"
"BAU009  Wohngebaeude  Anzahl" "BAU009 residential buildings number"
"FLCNW1  Wohnflaeche in Wohngebaeuden  1000 qm" "FLCNW1 living space in residential buildings 1000 sqm"
"WOHN01  Wohnungen in Wohn- und Nichtwohngebaeuden  Anzahl" "WOHN01 Number of apartments in residential and non-residential buildings"
"RME009  Raeume in Wohnungen mit 7 oder mehr Raeumen  Anzahl" "RME009 rooms in apartments with 7 or more rooms"
"1 Wohnung" "1 apartment"
"2 Wohnungen" "2 apartments"
"Wohnungen mit 1 Raum" "Apartments with 1 room"
"Wohnungen mit 2 Räumen" "Apartments with 2 rooms"
"Wohnungen mit 3 Räumen" "3 room apartments"
"Wohnungen mit 4 Räumen" "4 room apartments"
"Wohnungen mit 5 Räumen" "Apartments with 5 rooms"
"Wohnungen mit 6 Räumen" "6 room apartments"
"Wohnungen mit 7 Räumen oder mehr" "Apartments with 7 rooms or more"
"BAUNW9  Wohngebaeude  Anzahl" "BAUNW9 number of residential buildings"
"FLCNW9  Wohnflaeche in Wohngebaeuden  1000 qm" "FLCNW9 living space in residential buildings 1000 sqm"
"WOHNY1  Wohnungen in Wohn- und Nichtwohngebaeuden  Anzahl" "WOHNY1 Number of apartments in residential and non-residential buildings"
"RMENW9  Raeume in Wohnungen mit 7 und mehr Raeumen  Anzahl" "RMENW9 rooms in apartments with 7 or more rooms"
"Wohngebäude mit 1 Wohnung" "Residential building with 1 apartment"
"Wohngebäude mit 2 Wohnungen" "Residential building with 2 apartments"
"Wohngebäude mit 3 und mehr Wohnungen" "Residential building with 3 and more apartments"
"Wohnheime" "Dormitories"
"Gebäude mit Wohnraum und Wohnungen nach Gebäudearten - Stichtag 09.05.2011 regionale Tiefe: Kreise und krfr. Städte" "Buildings with living space and apartments by type of building - reference date May 9, 2011 regional depth: counties and regional cities"
"Gebäude mit Wohnraum und Wohnungen nach Gebäudearten - Stichtag 09.05.2011 regionale Tiefe: Gemeinden" "Buildings with living space and apartments by type of building - reference date May 9, 2011 regional depth: municipalities"
"Gebäude mit Wohnraum und Wohnungen nach Gebäudearten - Stichtag 09.05.2011 regionale Ebenen" "Buildings with living space and apartments by type of building - reference date May 9, 2011 regional levels"
"Gebäude mit Wohnraum nach Anzahl der Wohnungen - Stichtag 09.05.2011 regionale Tiefe: Kreise und krfr. Städte" "Buildings with living space according to the number of apartments - reference date May 9, 2011 regional depth: counties and regional cities"
"Gebäude mit Wohnraum nach Anzahl der Wohnungen - Stichtag 09.05.2011 regionale Tiefe: Gemeinden" "Buildings with living space by number of apartments - reference date May 9, 2011 regional depth: municipalities"
"Gebäude mit Wohnraum nach Anzahl der Wohnungen - Stichtag 09.05.2011 regionale Ebenen" "Buildings with living space according to number of apartments - reference date May 9, 2011 regional levels"
"Gebäude mit Wohnraum nach Baujahr - Stichtag 09.05.2011 regionale Tiefe: Kreise und krfr. Städte" "Buildings with living space according to year of construction - reference date 09.05.2011 regional depth: counties and regional cities"
"Gebäude mit Wohnraum nach Baujahr - Stichtag 09.05.2011 regionale Tiefe: Gemeinden" "Buildings with living space by year of construction - reference date May 9, 2011 regional depth: municipalities"
"Gebäude mit Wohnraum nach Baujahr - Stichtag 09.05.2011 regionale Ebenen" "Buildings with living space according to year of construction - reference date 09.05.2011 regional levels"
"Gebäude mit Wohnraum nach Heizungsart - Stichtag 09.05.2011 regionale Tiefe: Kreise und krfr. Städte" "Buildings with living space by type of heating - reference date May 9, 2011 regional depth: counties and regional cities"
"Gebäude mit Wohnraum nach Heizungsart - Stichtag 09.05.2011 regionale Tiefe: Gemeinden" "Buildings with living space by type of heating - reference date May 9, 2011 regional depth: municipalities"
"Gebäude mit Wohnraum nach Heizungsart - Stichtag 09.05.2011 regionale Ebenen" "Buildings with living space by type of heating - reference date May 9, 2011 regional levels"
"Wohngebäude nach Anzahl der Wohnungen - Stichtag 09.05.2011 regionale Tiefe: Kreise und krfr. Städte" "Residential buildings by number of apartments - reference date May 9, 2011 regional depth: counties and regional cities"
"Wohngebäude nach Anzahl der Wohnungen - Stichtag 09.05.2011 regionale Tiefe: Gemeinden" "Residential buildings by number of apartments - reference date May 9, 2011 regional depth: municipalities"
"Wohngebäude nach Anzahl der Wohnungen - Stichtag 09.05.2011 regionale Ebenen" "Residential buildings by number of apartments - reference date May 9, 2011 regional levels"
"Wohngebäude nach Baujahr - Stichtag 09.05.2011 regionale Tiefe: Kreise und krfr. Städte" "Residential buildings by year of construction - reference date 09.05.2011 regional depth: counties and regional cities"
"Wohngebäude nach Baujahr - Stichtag 09.05.2011 regionale Tiefe: Gemeinden" "Residential buildings by year of construction - reference date May 9, 2011 regional depth: municipalities"
"Wohngebäude nach Baujahr - Stichtag 09.05.2011 regionale Ebenen" "Residential buildings by year of construction - reference date 05/09/2011 regional levels"
"Wohngebäude nach Heizungsart - Stichtag 09.05.2011 regionale Tiefe: Kreise und krfr. Städte" "Residential buildings by type of heating - reference date May 9th, 2011 regional depth: counties and regional cities"
"Wohngebäude nach Heizungsart - Stichtag 09.05.2011 regionale Tiefe: Gemeinden" "Residential buildings by type of heating - reference date May 9, 2011 regional depth: municipalities"
"Genehmigungen zur Errichtung neuer Wohngebäude und Wohnungen in Wohngebäuden nach Zahl der Wohnungen - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Permits for the construction of new residential buildings and apartments in residential buildings according to the number of apartments - annual total - regional depth: districts and regional cities"
"Genehmigungen zur Errichtung neuer Wohngebäude und Wohnungen in Wohngebäuden nach Zahl der Wohnungen - Jahressumme - regionale Tiefe: Gemeinden" "Permits for the construction of new residential buildings and apartments in residential buildings according to the number of apartments - annual total - regional depth: municipalities"
"Genehmigungen zur Errichtung neuer Wohngebäude und Wohnungen in Wohngebäuden nach Zahl der Wohnungen - Jahressumme - regionale Ebenen" "Permits for the construction of new residential buildings and apartments in residential buildings according to the number of apartments - annual total - regional levels"
"Genehmigungen zur Errichtung neuer Nichtwohngebäude - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Permits for the construction of new non-residential buildings - annual total - regional depth: districts and regional cities"
"Genehmigungen zur Errichtung neuer Nichtwohngebäude - Jahressumme - regionale Tiefe: Gemeinden" "Permits for the construction of new non-residential buildings - annual total - regional depth: municipalities"
"Genehmigungen zur Errichtung neuer Nichtwohngebäude - Jahressumme - regionale Ebenen" "Permits for the construction of new non-residential buildings - annual total - regional levels"
"Genehmigungen für Wohnungen in Wohn- und Nichtwohngebäuden nach Zahl der Räume - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Permits for apartments in residential and non-residential buildings according to the number of rooms - annual total - regional depth: districts and regional cities"
"Genehmigungen für Wohnungen in Wohn- und Nichtwohngebäuden nach Zahl der Räume - Jahressumme - regionale Tiefe: Gemeinden" "Permits for apartments in residential and non-residential buildings by number of rooms - annual total - regional depth: municipalities"
"Genehmigungen für Wohnungen in Wohn- und Nichtwohngebäuden nach Zahl der Räume - Jahressumme - regionale Ebenen" "Permits for apartments in residential and non-residential buildings by number of rooms - annual total - regional levels"
"Genehmigungen zur Errichtung neuer Nichtwohngebäude nach Gebäudearten - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Permits for the construction of new non-residential buildings by type of building - annual total - regional depth: districts and regional cities"
"Genehmigungen zur Errichtung neuer Nichtwohngebäude nach Gebäudearten - Jahressumme - regionale Ebenen" "Permits for the construction of new non-residential buildings by type of building - annual total - regional levels"
"Genehmigungen zur Errichtung neuer Wohngebäude und Nichtwohngebäude sowie Wohnungen in Wohngebäuden nach Zahl der Wohnungen und vorwiegender Art der Beheizung - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Permits for the construction of new residential buildings and non-residential buildings as well as apartments in residential buildings according to the number of apartments and predominant type of heating - annual total - regional depth: districts and cities"
"Genehmigungen zur Errichtung neuer Wohngebäude und Nichtwohngebäude sowie Wohnungen in Wohngebäuden nach Zahl der Wohnungen und vorwiegender Art der Beheizung - Jahressumme - regionale Ebenen" "Permits for the construction of new residential and non-residential buildings as well as apartments in residential buildings according to the number of apartments and predominant type of heating - annual total - regional levels"
"Genehmigungen zur Errichtung neuer Wohngebäude und Nichtwohngebäude sowie Wohnungen in Wohngebäuden nach Zahl der Wohnungen und primär verwendeter Heizenergie - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Permits for the construction of new residential and non-residential buildings as well as apartments in residential buildings according to the number of apartments and primary heating energy used - annual total - regional depth: districts and cities"
"Genehmigungen zur Errichtung neuer Wohngebäude und Nichtwohngebäude sowie Wohnungen in Wohngebäuden nach Zahl der Wohnungen und primär verwendeter Heizenergie - Jahressumme - regionale Ebenen" "Permits for the construction of new residential and non-residential buildings as well as apartments in residential buildings according to the number of apartments and primary heating energy used - annual total - regional levels"
"Fertigstellung neuer Wohngebäude und Wohnungen in Wohngebäuden nach Zahl der Wohnungen - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Completion of new residential buildings and apartments in residential buildings according to the number of apartments - annual total - regional depth: districts and regional cities"
"Fertigstellung neuer Nichtwohngebäude - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Completion of new non-residential buildings - annual total - regional depth: districts and regional cities"
"Fertigstellung von Wohnungen in Wohn- und Nichtwohngebäuden nach Zahl der Räume - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Completion of apartments in residential and non-residential buildings according to the number of rooms - annual total - regional depth: districts and regional cities"
"Fertigstellungen neuer Nichtwohngebäude nach Gebäudearten - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Completions of new non-residential buildings by type of building - annual total - regional depth: districts and cities"
"Fertigstellungen neuer Wohngebäude und Nichtwohngebäude sowie Wohnungen in Wohngebäuden nach Zahl der Wohnungen und vorwiegender Art der Beheizung - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Completions of new residential buildings and non-residential buildings as well as apartments in residential buildings according to the number of apartments and predominant type of heating - annual total - regional depth: districts and cities"
"Fertigstellungen neuer Wohngebäude und Nichtwohngebäude sowie Wohnungen in Wohngebäuden nach Zahl der Wohnungen und primär verwendeter Heizenergie - Jahressumme - regionale Tiefe: Kreise und krfr. Städte" "Completions of new residential and non-residential buildings as well as apartments in residential buildings according to the number of apartments and primary heating energy used - annual total - regional depth: districts and cities"
"3 Merkmal Code" "3 feature code"
"3 Merkmal Label" "3 feature label"
"3 Auspraegung Code" "3 Expression code"
"3 Auspraegung Label" "3 Expression of label"
"Wohngebaeude  Anzahl" "Number of residential buildings"
"Wohnungen in Wohngebaeuden  Anzahl" "Number of apartments in residential buildings"
"Wohnflaeche  1000 qm" "living area 1000 sqm"
"Wohngebäude (inkl. Wohnheime)" "Residential buildings (including dormitories)"
"Inkommen" "In coming"
"2 Auspraegung Code" "2 Expression code"
"BAU015  Wohngebaeude  Anzahl" "BAU015 Residential building number"
"WOHN01  Wohnungen in Wohngebaeuden  Anzahl" "WOHN01 Number of apartments in residential buildings"
"FLC001  Wohnflaeche  1000 qm" "FLC001 living area 1000 sqm"
"Statistik Code" "Statistics code"
"Statistik Label" "Statistics label"
"Zeit Code" "Time code"
"Zeit Label" "Time label"
"1 Merkmal Code" "1 feature code"
"1 Merkmal Label" "1 feature label"
"2 Merkmal Code" "2 feature code"
"2 Merkmal Label" "2 feature label"
"anzahl" "number"
"anzahl" "number"
"1000 qm" "1000 sqm"
"Statistik der Baugenehmigungen" "Building permits statistics"
"Statistik der Baugenehmigungen" "Building permits statistics"
"Statistik der Baugenehmigungen" "Building permits statistics"
"Statistik der Baugenehmigungen" "Building permits statistics"
"Jahr" "year"
"Jahr" "year"
"Jahr" "year"
"Jahr" "year"
"Kreise und kreisfreie Städte" "Counties and independent cities"
"Kreise und kreisfreie Städte" "Counties and independent cities"
"Kreise und kreisfreie Städte" "Counties and independent cities"
"Kreise und kreisfreie Städte" "Counties and independent cities"
"Gebäudeart - Wohngebäude" "Building type - residential buildings"
"Gebäudeart - Wohngebäude" "Building type - residential buildings"
"Gebäudeart - Wohngebäude" "Building type - residential buildings"
"Gebäudeart - Wohngebäude" "Building type - residential buildings"
"(nach Anzahl der Wohnungen)" "(according to the number of apartments)"
"in Wohngebäuden" "in residential buildings"
"(nach Anzahl der Wohnungen)" "(according to the number of apartments)"
"in Wohngebäuden" "in residential buildings"
"Anstaltsgebäude" "Institution building"
"Büro- und Verwaltungsgebäude" "Office and administration building"
"Landwirtschaftliche Betriebsgebäude" "Farm buildings"
"Nichtlandwirtschaftliche Betriebsgebäude" "Non-agricultural farm buildings"
"dar. Fabrik- und Werkstattgebäude" ". Factory and workshop building"
"Handelsgebäude" "Commercial building"
"Warenlagergebäude" "Warehouse building"
"Hotels und Gaststätten" "Hotels and restaurants"
"Sonstige Nichtwohngebäude" "Other non-residential buildings"
"number" "number"
"1000 sqm" "1000 sqm"
"number" "number"
"bau016  neue nichtwohngebaeude  anzahl" "bau016 new non-residential buildings number"
"flc016  nutzflaeche in neuen nichtwohngebaeuden  1000 qm" "flc016 usable area in new non-residential buildings 1000 sqm"
"woh016  wohnungen in neuen nichtwohngebaeuden  anzahl" "where016 apartments in new non-residential buildings number"
"neue nichtwohngebaeude  anzahl" "number of new non-residential buildings"
"nutzflaeche in neuen nichtwohngebaeuden  1000 qm" "usable area in new non-residential buildings 1000 sqm"
"wohnungen in neuen nichtwohngebaeuden  anzahl" "apartments in new non-residential buildings number"
"veraeusserungsfaelle von bauland  anzahl" "Cases of sale of building land number"
"veraeusserte baulandflaeche  1000 qm" "sold building land area 1000 sqm"
"kaufsumme  tsd. eur" "purchase price thsd. eur"
"durchschnittlicher kaufwert je qm  eur" "average purchase value per square meter of eur"
"kaufsumme  tsd  eur" "purchase price thousand eur"
"Wohnflaeche in Wohngebaeuden  1000 qm" "Living space in residential buildings 1000 square meters"
"Wohnungen in Wohn  und Nichtwohngebaeuden  Anzahl" "Number of apartments in residential and non-residential buildings"
"Raeume in Wohnungen mit 7 oder mehr Raeumen  Anzahl" "Rooms in apartments with 7 or more rooms"
"Raeume in Wohnungen mit 7 und mehr Raeumen  Anzahl" "Rooms in apartments with 7 or more rooms"
"Gebaeude  Anzahl" "Number of buildings"
"Wohnungen  Anzahl" "Number of apartments"
"Nichtwohngebaeude  Anzahl" "Non-residential number"
"Nutzflaeche  1000 qm" "Usable area 1000 sqm"
"Nichtwohngebäude" "Non-residential buildings"
"Gebäude nach Anzahl der Wohnungen" "Buildings by number of apartments"
"Größe der Wohnung" "size of the apartment"
"Wohngebäude nach Anzahl der Wohnungen" "Residential buildings by number of apartments"
"Bevölkerung nach Geschlecht - Stichtag 31.12. - regionale Tiefe: Kreise und krfr. Städte" "Population by gender - reference date 31.12. - regional depth: counties and regional cities"
"Bevölkerung nach Geschlecht und Altersgruppen (17) - Stichtag 31.12. - regionale Tiefe: Kreise und krfr. Städte" "Population by gender and age group (17) - reference date 31.12. - regional depth: counties and regional cities"
"Bevölkerung nach Geschlecht, Nationalität und Altersgruppen (17) - Stichtag 31.12. - (bis 2010) regionale Tiefe: Kreise und krfr. Städte" "Population by gender, nationality and age group (17) - reference date 31.12. - (until 2010) regional depth: counties and Krfr. cities"
"Bevölkerung nach Geschlecht, Nationalität und Altersgruppen (21) - Stichtag 31.12. - (ab 2011) regionale Tiefe: Kreise und krfr. Städte" "Population by gender, nationality and age group (21) - reference date 31.12. - (from 2011) regional depth: districts and Krfr. cities"
"Bevölkerung nach Geschlecht und Altersjahren (78) - Stichtag 31.12. - (bis 2010) regionale Tiefe: Kreise und krfr. Städte" "Population by gender and age (78) - reference date 31.12. - (until 2010) regional depth: counties and Krfr. cities"
"Bevölkerung nach Geschlecht und Altersjahren (79) - Stichtag 31.12. - (ab 2011) regionale Tiefe: Kreise und krfr. Städte" "Population by gender and age (79) - reference date 31.12. - (from 2011) regional depth: districts and Krfr. cities"
"Durchschnittliche Jahresbevölkerung nach Geschlecht - Jahresdurchschnitt - regionale Tiefe: Kreise und krfr. Städte" "Average annual population by gender - annual average - regional depth: districts and cities"
